alunoId,cursos
1228826,124759|124759|920094|920094|121579|121579|121715|121715
1718036,124759|124433
1779304,124759|124329|123279|920080|124688|124303|920085|123489|123053|920081|124125|920091|920091|124577|124140|124567|124124
1819117,124759|124433|124603
1828048,124759|124603|124534
1829726,124759|920081|124603
1216168,124401|920083|920090|124603|920091
1716629,124401|10004|121579|123486|123545|124490|122876
1780122,124401|920094|124716|920080|920089|920084|123650|920081|124702|124125|124183
1782826,124
1820945,124401|920094|10004|10005|124191
1075737,124401|920082|122180
1092908,124401|124418|124603|920088
1253545,124401|920094|920083|920092|920086
1748873,124
1786661,124401|123758|920094|920094|920086
1791510,124401|920094|920094|920089|920089|920085|920085|920085|920081|920081|920091|920091
1802984,124401|920094|920094|920080|920083|123065|10005|920081|920081
893043,124401|124341|124098|124150|124781|124358|123086|123828
1269781,124
1713324,123764|920089
1713561,123764|920082|920084|121439|920088
1717454,123764|123758|124263|124107|124112|123691|124179|124180|124241|121440|123800|124305|124256|123169|124200|124253
1789257,123764|123901|123763|124065|123738|10005|123860|920081|920092|920086|123200|123902
1804470,123764|123661|123750|123763|123580|124107|920076|920095|920094|124156|920080|920082|123065|10005|920081|10007|920091|920091|920092|920092|920092|920086|920086
1011063,123628|920080|920089|920084|920090|920091
1074830,123628|124224|124722|123777
1160076,123628|920080|123684|920082|122551|920091|920088
1164798,123628|920087
1195289,123628|123413|920080|920091
1230422,123628|123782|920094|123186|920089|122760|920084|123629|920085|920090|121715|122291|920091|920092|920086|123519|123930|920087|123871
1247679,123628|123716|123627|123588|920094|920089|920089|920082|920083|122877|122181|920084|920085|920085|920090|920081|920091|920092|920087|920088|123529
1270165,123628|920089|120292|920091
1701033,123628|920094|920087
1702225,123628|124318|123407|123637|123637|123735|920094|123186|920089|920089|124712|920083|920084|920085|920081|920081|123032|123547|122291|920086|121555|122430|124129|123169|123488|124556|124679
1702675,123628|920090
1702924,123628|123684|920089|10004|10005|920084|123654|123649|123629|920085|920081|120018|920091|123448|124124|124347
1721100,123628|121166|920080|920084|920081|920091|920087|124347
1721669,123628|123750|920080|920083|920084|920085|920090|920081|920091|920092|920086|920087|123465
1727747,123628|123780|920080|920089|920083|920083|920084|920090|920081|920091|920087
